rating,schooladdress,schooldist,schoolname
7,"220 East 106th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Amber Charter School
7,"433 West 123rd Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,KIPP S.T.A.R. Charter School
7,"610 East 12th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,The East Village Community School
7,"525 East Houston Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Bard High School Early College
7,"223 East 23rd Street, New York, NY 10010",Nyc Geog District # 2 - Manhattan,47 the American Sign Language and English Lower School
7,"35 East 125th Street, New York, NY 10035",Nyc Geog District # 5 - Manhattan,Harlem Children S Zone Promise Academy Ii Charter
7,"508 East 120th Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,River East Elementary School
7,"245 West 129th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Harlem Children's Zone Promise Academy Charter School
7,"421 W 219th St, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Paula Hedbavny School
7,"549 Audubon Ave-Trailer 30, New York, NY 10040",Nyc Geog District # 6 - Manhattan,The Equity Project Charter School
7,"250 West 127th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Democracy Prep Endurance Charter School
7,"243 West 61st Street, New York, NY 10023",Nyc Geog District # 3 - Manhattan,West End Secondary School
6,"230 East 105th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Park East High School
6,"420 East 12th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,East Side Community School
6,"80-55 Cornish Avenue, New York, NY 11373",Nyc Geog District #24 - Queens,Ps 7 Louis F Simeone
6,"160 East 120th Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Ps 7 Samuel Stern
6,"333 East 4th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,Ps 15 Roberto Clemente
6,"1750 Amsterdam Avenue, New York, NY 10031",Nyc Geog District # 6 - Manhattan,Ps 153 Adam Clayton Powell
6,"306 Fort Washington Avenue, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Ps 173
6,"349 Cabrini Boulevard, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Ps Is 187 Hudson Cliffs
6,"500 West 138th Street, New York, NY 10031",Nyc Geog District # 6 - Manhattan,Ps 192 Jacob H Schiff
6,"222 West 134th Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Ps 92 Mary Mcleod Bethune
6,"525 West 50th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Manhattan Bridges High School
6,"4600 Broadway, New York, NY 10040",Nyc Geog District # 6 - Manhattan,City College Academy Of The Arts
6,"610 East 12th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,The Children S Workshop School
6,"600 East 6th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,Tompkins Square Middle School
6,"21 Jumel Place, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Ms 319 Marie Teresa
6,"222 West 134th Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Democracy Preparatory Charter School
6,"145 West 84th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Frank Mccourt High School
6,"147 Saint Nicholas Avenue, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Harlem Hebrew Language Academy
6,"1573 Madison Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,E Harlem Scholars Acad Charter School
6,"311 West 120th Street, New York, NY 10027",Nyc Geog District # 3 - Manhattan,New York French American Charter School
6,"500 West 138th Street, New York, NY 10031",Nyc Geog District # 6 - Manhattan,HAMILTON GRANGE MIDDLE SCHOOL
5,"345 East 15th Street, New York, NY 10003",Nyc Geog District # 2 - Manhattan,High School for Health Professions & Human Services
5,"100 Trinity Place, New York, NY 10006",Nyc Geog District # 2 - Manhattan,High School Of Economics And Finance
5,"123 West 43rd Street, New York, NY 10036",Nyc Geog District # 2 - Manhattan,Repertory Company High School for Theatre Arts
5,"131 Avenue of the Americas, New York, NY 10013",Nyc Geog District # 2 - Manhattan,Chelsea Career And Technical Education High School
5,"219 East 109th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,The Bilingual Bicultural School
5,"32 West 92nd Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ps 84 Lilian Weber
5,"440 West 53rd Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Ps 111 Adolph S Ochs
5,"100 Attorney Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Ps 142 Amalia Castro
5,"150 West 105th Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ps 145 The Bloomingdale School
5,"503 West 152nd Street, New York, NY 10031",Nyc Geog District # 6 - Manhattan,Ps Is 210 21st Century Academy For Community Lders
5,"12 Ellwood Street, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Professor Juan Bosch Public School
5,"175 West 134th Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Ps 175 Henry H Garnet
5,"240 2nd Avenue, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Manhattan Comprehensive Night And Day High School
5,"240 East 123rd Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Harlem Day Charter School
5,"154 West 93rd Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ms 256 Academic And Athletic Excellence
5,"200 Monroe Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,University Neighborhood High School
5,"99 Terrace View Avenue, New York, NY 10463",Nyc Geog District #10 - Bronx,Marble Hill High School of International Studies
5,"350 Grand Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,New Design High School
5,"219 East 109th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Ps 83 Luis Munoz Rivera
5,"282 West 151st Street, New York, NY 10039",Nyc Geog District # 5 - Manhattan,Thurgood Marshall Academy Lower School
5,"4600 Broadway, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Middle School 322
5,"600 East 6th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,Earth School
5,"134 West 122nd Street, New York, NY 10027",Nyc Geog District # 3 - Manhattan,Future Leaders Institute Charter School
5,"2351 1st Avenue, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Harlem Village Academy Leadership Middle School
5,"4862 Broadway, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Amistad Dual Language School
5,"21 Jumel Place, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Ms 324 Patria Mirabal
5,"1818 Amsterdam Avenue, New York, NY 10031",Nyc Geog District # 6 - Manhattan,New Heights Academy Charter School
5,"504 West 158th Street, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Community Health Academy of the Heights
5,"145 Stanton Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Lower East Side Preparatory High School
5,"421 East 88th Street, New York, NY 10128",Nyc Geog District # 2 - Manhattan,Yorkville Community School
5,"425 West 33rd Street, New York, NY 10001",Nyc Geog District # 2 - Manhattan,CITY KNOLL MIDDLE SCHOOL
5,"207 West 133rd Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Democracy Prep Harlem Charter School
5,"108 Cooper Street, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Inwood Academy For Leadership Charter School
5,"34 West 14th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Harvest Collegiate High School
5,"38 Delancey Street-3rd Fl, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Great Oaks Charter School
5,"1573 Madison Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,East Harlem Scholars Academy Charter School II
5,"168 Morningside Avenue, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Teachers College Community School
5,"411 Pearl Street, New York, NY 10038",Nyc Geog District # 2 - Manhattan,Manhattan Early College School For Advertising
4,"444 West 56th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,High School for Environmental Studies
4,"4600 Broadway, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Is 218 Salome Urena
4,"3703 10th Avenue, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Ps 5 Ellen Lurie
4,"180 Wadsworth Avenue, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Is 528 Bea Fuller Rodgers School
4,"2581 7th Avenue, New York, NY 10039",Nyc Geog District # 5 - Manhattan,Frederick Douglass Academy
4,"465 West 167th Street, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Ps 8 Luis Belliard
4,"249 West 56th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Art and Design High School
4,"225 West 24th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,The High School of Fashion Industries
4,"166 Essex Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Ps 20 Anna Silver
4,"475 West 155th Street, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Ps 28 Wright Brothers
4,"144 East 128th Street, New York, NY 10035",Nyc Geog District # 5 - Manhattan,Ps 30 Hernandez Hughes
4,"123 Morningside Drive, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Ps 36 Margaret Douglas
4,"250 West 127th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Ps 154 Harriet Tubman
4,"176 East 115th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,James Weldon Johnson School
4,"315 East 113th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,P.S. 102 Jacques Cartier
4,"123 Ridge Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Ps 140 Nathan Straus
4,"499 West 133rd Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,P.S. 161 Pedro Albizu Campos
4,"234 West 109th Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ps 165 Robert E Simon
4,"433 West 135th Street, New York, NY 10031",Nyc Geog District # 6 - Manhattan,A Philip Randolph Campus High School
4,"240 West 113th Street, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Stem Institute Of Manhattan
4,"735 West End Avenue, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ms 250 West Side Collaborative Middle School
4,"132/142 East 111th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Harbor Science and Arts Charter School
4,"410 East 100th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Ms 224 Manhattan East School For Arts And Academy
4,"600 East 6th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,Ps 64 Robert Simon
4,"370 West 120th Street, New York, NY 10027",Nyc Geog District # 3 - Manhattan,Ps 180 Hugo Newman
4,"223 East 23rd Street, New York, NY 10010",Nyc Geog District # 2 - Manhattan,American Sign Language & English Secondary School
4,"185 1st Avenue, New York, NY 10003",Nyc Geog District # 1 - Manhattan,Technology Arts And Sciences Studio School
4,"350 Grand Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,Urban Assembly Academy Of Government And Law
4,"525 West 50th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Food And Finance High School
4,"350 Grand Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,Essex Street Academy
4,"100 Hester Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,Pace High School
4,"525 West 50th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Urban Assembly School Of Design And Construction
4,"20 West 112th Street, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Harlem Link Charter School
4,"260 Pleasant Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Isaac Newton Ms For Math And Science
4,"19 103rd Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Central Park East Ii
4,"306 Fort Washington Avenue, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Harbor Heights Middle School
4,"511 West 182nd Street, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Washington Heights Expeditionary Learning School
4,"351 West 18th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Manhattan Business Academy
4,"351 West 18th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Quest To Learn
4,"150 West 105th Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,West Prep Academy
4,"141 East 111th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Mosaic Preparatory Academy
4,"319 East 117th Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Renaissance School Of The Arts
4,"999 Jamaica Avenue, New York, NY 11208",Nyc Geog District #19 - Brooklyn,Cypress Hills Collegiate Preparatory School
4,"222 West 134th Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,St Hope Leadership Academy Charter School
4,"10 South Street, New York, NY 10004",Nyc Geog District # 2 - Manhattan,Urban Assembly New York Harbor School
4,"439 West 49th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Urban Assembly Gateway School For Technology
4,"40 Irving Place, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Academy for Software Engineering
4,"2350 5th Avenue, New York, NY 10037",Nyc Geog District # 5 - Manhattan,Global Community Charter School
4,"111 Broadway, New York, NY 10006",Nyc Geog District # 1 - Manhattan,Nyc Charter School Of The Arts
4,"22 Marble Hill Avenue, New York, NY 10463",Nyc Geog District #10 - Bronx,Atmosphere Academy Public Charter
3,"1332 10th Avenue, New York, NY 10014",Jefferson Central School District,Jefferson Central School
3,"4124 9th Avenue, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Ps 18 Park Terrace
3,"4360 Broadway, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Ps 48 Po Michael J Buczek
3,"90 Trinity Place, New York, NY 10006",Nyc Geog District # 2 - Manhattan,Leadership And Public Service High School
3,"501 West 165th Street, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Gregorio Luperon High School for Science and Mathematics
3,"345 East 15th Street, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Institute For Collaborative Education
3,"730 East 12th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,Ps 34 Franklin D Roosevelt
3,"2987 Frederick Douglass Boulevard, New York, NY 10039",Nyc Geog District # 5 - Manhattan,Ps 46 Arthur Tappan
3,"131 East 104th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,The Lexington Academy
3,"586 West 177th Street, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Ps 115 Alexander Humboldt
3,"301 West 140th Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Ps 123 Mahalia Jackson
3,"560 West 169th Street, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Ps 128 Audubon
3,"293 East Broadway, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Ps 134 Henrietta Szold
3,"511 West 182nd Street, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Jhs 143 Eleanor Roosevelt
3,"421 East 106th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Ps 146 Ann M Short
3,"41 West 117th Street, New York, NY 10026",Nyc Geog District # 3 - Manhattan,PS 149 Sojourner Truth
3,"93 Nagle Avenue, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Ps 152 Dyckman Valley
3,"2580 Amsterdam Avenue, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Ps 189
3,"300 West 61st Street, New York, NY 10023",Nyc Geog District # 3 - Manhattan,Ps 191 Amsterdam
3,"508 East 120th Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Ps Ms 206 Jose Celso Barbosa
3,"1680 Lexington Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,The Heritage School
3,"650 Academy Street, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Jhs 52 Inwood
3,"26 Broadway, New York, NY 10004",Nyc Geog District # 2 - Manhattan,Richard R Green High School Of Teaching
3,"134 West 122nd Street, New York, NY 10027",Nyc Geog District # 3 - Manhattan,Ps 242 The Young Diplomats Magnet School
3,"549 Audubon Avenue, New York, NY 10040",Nyc Geog District # 6 - Manhattan,High School for Law & Public Service
3,"442 East Houston Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Ps 188 The Island School
3,"317 East 67th Street, New York, NY 10065",Nyc Geog District # 2 - Manhattan,Manhattan International High School
3,"122 Amsterdam Avenue, New York, NY 10023",Nyc Geog District # 3 - Manhattan,"High School for Law, Advocacy and Community Justice"
3,"122 Amsterdam Avenue, New York, NY 10023",Nyc Geog District # 3 - Manhattan,High School of Arts and Technology
3,"214 West 135th Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Thurgood Marshall Academy For Learning And Social
3,"350 Grand Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,Lower Manhattan Arts Academy
3,"220 Henry Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,University Neighborhood Middle School
